"NDB_No","Nutrient","Nutr_Val","Units"
"01004",Protein,21.4,g
"01005",Protein,23.24,g
"01006",Protein,20.75,g
"01007",Protein,19.8,g
"01009",Protein,22.87,g
"01011",Protein,23.76,g
"01012",Protein,11.12,g
"01017",Protein,6.15,g
"01018",Protein,24.99,g
"01019",Protein,14.21,g
"01020",Protein,25.6,g
"01022",Protein,24.94,g
"01023",Protein,29.81,g
"01024",Protein,20.05,g
"01025",Protein,24.48,g
"01026",Protein,22.17,g
"01028",Protein,24.26,g
"01030",Protein,23.41,g
"01033",Protein,35.75,g
"01034",Protein,23.78,g
"01035",Protein,25.58,g
"01036",Protein,11.26,g
"01038",Protein,31.8,g
"01040",Protein,26.96,g
"01043",Protein,22.13,g
"01044",Protein,24.73,g
"01054",Protein,3.2,g
"01055",Protein,2.94,g
"01057",Protein,4.55,g
"01089",Protein,3.1,g
"01095",Protein,7.91,g
"01107",Protein,1.03,g
"01115",Protein,12.93,g
"01116",Protein,3.47,g
"01117",Protein,5.25,g
"01118",Protein,5.73,g
"01124",Protein,10.9,g
"01125",Protein,15.86,g
"01128",Protein,13.61,g
"01129",Protein,12.58,g
"01130",Protein,10.57,g
"01131",Protein,12.51,g
"01132",Protein,9.99,g
"01138",Protein,12.81,g
"01139",Protein,13.87,g
"01140",Protein,13.05,g
"01144",Protein,55.5,g
"01156",Protein,30.52,g
"01157",Protein,21.58,g
"01159",Protein,18.52,g
"01178",Protein,7.0,g
"01179",Protein,3.5,g
"01180",Protein,3.1,g
"01185",Protein,40.0,g
"01200",Protein,3.0,g
"01223",Protein,45.71,g
"01225",Protein,6.84,g
"01230",Protein,3.21,g
"01236",Protein,4.1,g
"01237",Protein,4.1,g
"01238",Protein,4.29,g
"01239",Protein,3.7,g
"01240",Protein,5.21,g
"01243",Protein,4.41,g
"01244",Protein,4.41,g
"01251",Protein,23.54,g
"01256",Protein,10.19,g
"01263",Protein,3.36,g
"01270",Protein,24.25,g
"01287",Protein,9.95,g
"01289",Protein,3.79,g
"01290",Protein,3.39,g
"01293",Protein,9.0,g
"01300",Protein,5.62,g
"01301",Protein,3.0,g
"01302",Protein,1.54,g
"01305",Protein,3.43,g
"01306",Protein,5.33,g
"04001",Protein,0.0,g
"04002",Protein,0.0,g
"04013",Protein,0.2,g
"04015",Protein,0.69,g
"04016",Protein,3.1,g
"04017",Protein,1.09,g
"04018",Protein,0.65,g
"04020",Protein,0.58,g
"04021",Protein,0.39,g
"04022",Protein,0.5,g
"04025",Protein,0.96,g
"04027",Protein,0.3,g
"04038",Protein,0.0,g
"04042",Protein,0.0,g
"04044",Protein,0.0,g
"04047",Protein,0.0,g
"04053",Protein,0.0,g
"04058",Protein,0.0,g
"04114",Protein,0.41,g
"04120",Protein,0.77,g
"04135",Protein,0.0,g
"04367",Protein,0.2,g
"04502",Protein,0.0,g
"04506",Protein,0.0,g
"04511",Protein,0.0,g
"04513",Protein,0.0,g
"04518",Protein,0.0,g
"04520",Protein,0.0,g
"04528",Protein,0.0,g
"04529",Protein,0.0,g
"04539",Protein,1.37,g
"04542",Protein,0.0,g
"04554",Protein,0.0,g
"04574",Protein,0.0,g
"04575",Protein,0.0,g
"04582",Protein,0.0,g
"04601",Protein,3.3,g
"04602",Protein,3.3,g
"04609",Protein,0.0,g
"04610",Protein,0.16,g
"04611",Protein,0.22,g
"04612",Protein,0.12,g
"04615",Protein,0.0,g
"04631",Protein,0.1,g
"04633",Protein,0.0,g
"04635",Protein,0.55,g
"04636",Protein,0.97,g
"04639",Protein,1.32,g
"04641",Protein,0.37,g
"04652",Protein,0.0,g
"04659",Protein,0.0,g
"04666",Protein,0.0,g
"04679",Protein,0.26,g
"04686",Protein,0.98,g
"04703",Protein,0.87,g
"04704",Protein,0.92,g
"04705",Protein,1.47,g
"04706",Protein,1.07,g
"04708",Protein,0.37,g
"04709",Protein,0.65,g
"05009",Protein,27.3,g
"05013",Protein,28.93,g
"05028",Protein,24.46,g
"05060",Protein,29.8,g
"05064",Protein,31.02,g
"05103",Protein,23.79,g
"05140",Protein,18.99,g
"05142",Protein,23.48,g
"05147",Protein,25.16,g
"05166",Protein,28.55,g
"05168",Protein,29.06,g
"05220",Protein,30.13,g
"05277",Protein,21.77,g
"05284",Protein,23.68,g
"05306",Protein,27.37,g
"05324",Protein,14.85,g
"05327",Protein,14.73,g
"05642",Protein,26.15,g
"06008",Protein,1.14,g
"06015",Protein,5.06,g
"06018",Protein,3.09,g
"06022",Protein,5.11,g
"06024",Protein,1.97,g
"06027",Protein,3.02,g
"06039",Protein,2.13,g
"06050",Protein,4.62,g
"06067",Protein,1.14,g
"06070",Protein,3.97,g
"06112",Protein,5.93,g
"06116",Protein,3.75,g
"06119",Protein,0.71,g
"06125",Protein,2.6,g
"06150",Protein,0.82,g
"06164",Protein,1.52,g
"06165",Protein,3.77,g
"06166",Protein,3.84,g
"06167",Protein,3.99,g
"06169",Protein,1.29,g
"06175",Protein,3.31,g
"06176",Protein,1.35,g
"06179",Protein,5.06,g
"06194",Protein,0.64,g
"06208",Protein,1.16,g
"06618",Protein,2.02,g
"06749",Protein,3.18,g
"06931",Protein,1.39,g
"06961",Protein,0.9,g
"06962",Protein,0.7,g
"06963",Protein,2.0,g
"06971",Protein,0.0,g
"06972",Protein,2.5,g
"06980",Protein,5.1,g
"07010",Protein,15.3,g
"07013",Protein,13.72,g
"07019",Protein,24.1,g
"07057",Protein,19.25,g
"07072",Protein,21.07,g
"07081",Protein,14.81,g
"07089",Protein,19.12,g
"07919",Protein,15.42,g
"07956",Protein,18.21,g
"07974",Protein,13.33,g
"08001",Protein,13.14,g
"08002",Protein,10.0,g
"08003",Protein,5.1,g
"08005",Protein,8.9,g
"08010",Protein,4.39,g
"08011",Protein,4.45,g
"08012",Protein,7.1,g
"08013",Protein,12.09,g
"08014",Protein,4.6,g
"08015",Protein,4.8,g
"08017",Protein,5.2,g
"08018",Protein,6.37,g
"08019",Protein,6.4,g
"08020",Protein,7.5,g
"08023",Protein,9.2,g
"08025",Protein,6.69,g
"08028",Protein,10.2,g
"08029",Protein,9.9,g
"08030",Protein,5.3,g
"08031",Protein,9.2,g
"08032",Protein,4.3,g
"08034",Protein,4.62,g
"08035",Protein,5.3,g
"08037",Protein,13.67,g
"08038",Protein,11.22,g
"08039",Protein,9.4,g
"08045",Protein,8.85,g
"08046",Protein,6.01,g
"08047",Protein,6.41,g
"08048",Protein,7.69,g
"08049",Protein,9.98,g
"08050",Protein,7.67,g
"08054",Protein,10.55,g
"08057",Protein,6.3,g
"08058",Protein,8.5,g
"08059",Protein,4.51,g
"08060",Protein,7.72,g
"08061",Protein,7.6,g
"08064",Protein,6.4,g
"08065",Protein,6.75,g
"08066",Protein,7.01,g
"08067",Protein,17.79,g
"08068",Protein,4.8,g
"08069",Protein,3.96,g
"08071",Protein,5.7,g
"08073",Protein,5.5,g
"08074",Protein,10.71,g
"08078",Protein,4.9,g
"08081",Protein,8.5,g
"08082",Protein,9.8,g
"08083",Protein,3.32,g
"08084",Protein,29.1,g
"08085",Protein,26.55,g
"08087",Protein,8.3,g
"08089",Protein,8.3,g
"08090",Protein,7.65,g
"08101",Protein,0.9,g
"08104",Protein,11.6,g
"08106",Protein,10.6,g
"08121",Protein,2.54,g
"08123",Protein,2.37,g
"08138",Protein,6.94,g
"08146",Protein,16.26,g
"08147",Protein,11.37,g
"08148",Protein,11.8,g
"08159",Protein,6.72,g
"08189",Protein,8.7,g
"08191",Protein,7.8,g
"08192",Protein,6.5,g
"08194",Protein,6.8,g
"08200",Protein,12.64,g
"08202",Protein,9.89,g
"08204",Protein,3.34,g
"08206",Protein,3.41,g
"08211",Protein,3.92,g
"08214",Protein,11.38,g
"08216",Protein,12.38,g
"08218",Protein,9.66,g
"08220",Protein,8.42,g
"08239",Protein,8.8,g
"08243",Protein,7.7,g
"08244",Protein,6.59,g
"08245",Protein,8.5,g
"08259",Protein,6.59,g
"08261",Protein,8.19,g
"08262",Protein,6.69,g
"08263",Protein,8.3,g
"08267",Protein,9.0,g
"08268",Protein,5.5,g
"08270",Protein,5.4,g
"08271",Protein,5.6,g
"08272",Protein,5.45,g
"08273",Protein,5.5,g
"08274",Protein,6.19,g
"08277",Protein,7.9,g
"08284",Protein,9.0,g
"08286",Protein,8.6,g
"08288",Protein,4.3,g
"08290",Protein,14.44,g
"08305",Protein,6.6,g
"08309",Protein,6.8,g
"08318",Protein,7.5,g
"08346",Protein,3.64,g
"08349",Protein,4.69,g
"08376",Protein,4.59,g
"08380",Protein,6.59,g
"08383",Protein,6.3,g
"08386",Protein,16.7,g
"08387",Protein,11.39,g
"08388",Protein,13.0,g
"08390",Protein,9.4,g
"08393",Protein,24.89,g
"08409",Protein,4.25,g
"08435",Protein,15.98,g
"08462",Protein,12.0,g
"08469",Protein,5.59,g
"08484",Protein,7.63,g
"08494",Protein,3.32,g
"08495",Protein,4.15,g
"08500",Protein,9.09,g
"08501",Protein,3.9,g
"08513",Protein,5.59,g
"08531",Protein,7.1,g
"08538",Protein,10.39,g
"08543",Protein,7.8,g
"08544",Protein,8.9,g
"08550",Protein,4.44,g
"08553",Protein,6.67,g
"08554",Protein,8.5,g
"08560",Protein,16.79,g
"08571",Protein,11.23,g
"08579",Protein,5.09,g
"08582",Protein,5.6,g
"08583",Protein,5.8,g
"08584",Protein,6.5,g
"08586",Protein,5.4,g
"08588",Protein,5.69,g
"08592",Protein,5.5,g
"08593",Protein,5.8,g
"08594",Protein,4.8,g
"08595",Protein,5.0,g
"08596",Protein,5.8,g
"08598",Protein,7.69,g
"08599",Protein,6.3,g
"08602",Protein,7.5,g
"08603",Protein,6.9,g
"08610",Protein,7.8,g
"08633",Protein,7.9,g
"08635",Protein,6.5,g
"08637",Protein,8.5,g
"08643",Protein,6.4,g
"08655",Protein,7.0,g
"08656",Protein,11.91,g
"08657",Protein,7.41,g
"09003",Protein,0.26,g
"09004",Protein,0.27,g
"09009",Protein,1.32,g
"09011",Protein,0.93,g
"09016",Protein,0.1,g
"09019",Protein,0.17,g
"09021",Protein,1.4,g
"09022",Protein,0.71,g
"09027",Protein,0.53,g
"09032",Protein,3.39,g
"09036",Protein,0.37,g
"09037",Protein,2.0,g
"09040",Protein,1.09,g
"09041",Protein,3.89,g
"09042",Protein,1.39,g
"09043",Protein,0.3,g
"09044",Protein,1.25,g
"09046",Protein,1.31,g
"09048",Protein,1.18,g
"09050",Protein,0.74,g
"09052",Protein,0.65,g
"09057",Protein,1.1,g
"09059",Protein,1.07,g
"09060",Protein,1.04,g
"09063",Protein,1.0,g
"09066",Protein,0.73,g
"09070",Protein,1.06,g
"09074",Protein,0.6,g
"09078",Protein,0.46,g
"09079",Protein,0.17,g
"09081",Protein,0.9,g
"09084",Protein,1.4,g
"09085",Protein,4.08,g
"09087",Protein,2.45,g
"09089",Protein,0.75,g
"09092",Protein,0.38,g
"09094",Protein,3.3,g
"09105",Protein,0.34,g
"09111",Protein,0.63,g
"09128",Protein,0.5,g
"09131",Protein,0.63,g
"09132",Protein,0.72,g
"09134",Protein,0.48,g
"09135",Protein,0.37,g
"09139",Protein,2.55,g
"09143",Protein,0.32,g
"09148",Protein,1.14,g
"09149",Protein,1.88,g
"09150",Protein,1.1,g
"09152",Protein,0.35,g
"09153",Protein,0.45,g
"09159",Protein,0.7,g
"09160",Protein,0.42,g
"09161",Protein,0.25,g
"09163",Protein,2.5,g
"09164",Protein,0.83,g
"09165",Protein,3.8,g
"09167",Protein,1.52,g
"09176",Protein,0.82,g
"09178",Protein,2.45,g
"09181",Protein,0.84,g
"09183",Protein,1.11,g
"09184",Protein,0.54,g
"09190",Protein,1.44,g
"09191",Protein,1.06,g
"09193",Protein,0.84,g
"09195",Protein,1.03,g
"09200",Protein,0.94,g
"09206",Protein,0.7,g
"09207",Protein,0.68,g
"09209",Protein,0.68,g
"09218",Protein,0.81,g
"09219",Protein,0.62,g
"09221",Protein,0.5,g
"09226",Protein,0.47,g
"09229",Protein,0.17,g
"09232",Protein,0.39,g
"09233",Protein,0.67,g
"09236",Protein,0.91,g
"09237",Protein,0.44,g
"09241",Protein,0.45,g
"09246",Protein,3.61,g
"09251",Protein,0.27,g
"09252",Protein,0.36,g
"09253",Protein,0.19,g
"09257",Protein,0.2,g
"09259",Protein,1.87,g
"09262",Protein,0.11,g
"09263",Protein,0.58,g
"09266",Protein,0.54,g
"09267",Protein,0.43,g
"09270",Protein,0.35,g
"09277",Protein,1.3,g
"09278",Protein,0.79,g
"09279",Protein,0.7,g
"09281",Protein,0.39,g
"09284",Protein,0.36,g
"09286",Protein,1.67,g
"09291",Protein,2.18,g
"09294",Protein,0.61,g
"09297",Protein,3.39,g
"09298",Protein,3.07,g
"09302",Protein,1.2,g
"09304",Protein,0.83,g
"09307",Protein,0.9,g
"09309",Protein,0.55,g
"09315",Protein,1.0,g
"09316",Protein,0.67,g
"09317",Protein,0.56,g
"09322",Protein,2.8,g
"09326",Protein,0.61,g
"09328",Protein,0.22,g
"09340",Protein,0.5,g
"09352",Protein,1.04,g
"09409",Protein,0.36,g
"09426",Protein,0.34,g
"09434",Protein,0.11,g
"09436",Protein,0.11,g
"09442",Protein,0.15,g
"09508",Protein,0.6,g
"09513",Protein,0.63,g
"09515",Protein,0.63,g
"09516",Protein,0.44,g
"09519",Protein,0.3,g
"09530",Protein,0.5,g
"09531",Protein,0.48,g
"10007",Protein,7.06,g
"10022",Protein,27.32,g
"10026",Protein,28.57,g
"10089",Protein,29.06,g
"10136",Protein,22.62,g
"10182",Protein,18.26,g
"10220",Protein,25.69,g
"10862",Protein,33.92,g
"10998",Protein,28.31,g
"11001",Protein,3.99,g
"11008",Protein,2.89,g
"11011",Protein,2.2,g
"11012",Protein,2.4,g
"11015",Protein,2.14,g
"11023",Protein,3.6,g
"11025",Protein,0.84,g
"11026",Protein,2.6,g
"11028",Protein,1.72,g
"11032",Protein,6.81,g
"11043",Protein,3.04,g
"11050",Protein,1.76,g
"11052",Protein,1.83,g
"11053",Protein,1.89,g
"11056",Protein,1.05,g
"11080",Protein,1.61,g
"11081",Protein,1.68,g
"11084",Protein,0.91,g
"11086",Protein,2.2,g
"11087",Protein,2.57,g
"11090",Protein,2.82,g
"11091",Protein,2.38,g
"11096",Protein,3.17,g
"11097",Protein,3.83,g
"11098",Protein,3.38,g
"11099",Protein,2.55,g
"11104",Protein,1.53,g
"11105",Protein,2.09,g
"11109",Protein,1.28,g
"11110",Protein,1.27,g
"11112",Protein,1.43,g
"11113",Protein,1.51,g
"11114",Protein,2.0,g
"11117",Protein,1.56,g
"11118",Protein,1.1,g
"11119",Protein,1.2,g
"11124",Protein,0.93,g
"11125",Protein,0.76,g
"11128",Protein,0.64,g
"11134",Protein,1.36,g
"11135",Protein,1.92,g
"11136",Protein,1.84,g
"11141",Protein,1.5,g
"11143",Protein,0.69,g
"11144",Protein,0.83,g
"11147",Protein,1.8,g
"11148",Protein,1.88,g
"11149",Protein,0.82,g
"11152",Protein,1.7,g
"11156",Protein,3.27,g
"11158",Protein,1.64,g
"11161",Protein,3.02,g
"11162",Protein,2.71,g
"11165",Protein,2.13,g
"11168",Protein,3.41,g
"11172",Protein,2.29,g
"11192",Protein,3.17,g
"11203",Protein,2.6,g
"11204",Protein,1.9,g
"11205",Protein,0.65,g
"11206",Protein,0.59,g
"11207",Protein,2.7,g
"11208",Protein,2.0,g
"11209",Protein,0.98,g
"11210",Protein,0.83,g
"11212",Protein,11.91,g
"11213",Protein,1.25,g
"11214",Protein,1.15,g
"11215",Protein,6.36,g
"11216",Protein,1.82,g
"11223",Protein,5.27,g
"11226",Protein,2.0,g
"11232",Protein,3.68,g
"11234",Protein,1.9,g
"11241",Protein,1.7,g
"11242",Protein,1.8,g
"11245",Protein,3.2,g
"11246",Protein,1.5,g
"11250",Protein,1.35,g
"11251",Protein,1.23,g
"11252",Protein,0.9,g
"11253",Protein,1.36,g
"11255",Protein,1.58,g
"11261",Protein,2.17,g
"11264",Protein,1.87,g
"11268",Protein,9.58,g
"11269",Protein,1.56,g
"11270",Protein,2.86,g
"11271",Protein,2.56,g
"11278",Protein,1.93,g
"11279",Protein,1.87,g
"11280",Protein,1.69,g
"11282",Protein,1.1,g
"11291",Protein,1.83,g
"11292",Protein,0.97,g
"11296",Protein,4.14,g
"11297",Protein,2.97,g
"11299",Protein,1.32,g
"11300",Protein,2.8,g
"11301",Protein,3.27,g
"11304",Protein,5.42,g
"11305",Protein,5.36,g
"11323",Protein,3.09,g
"11327",Protein,2.54,g
"11329",Protein,0.9,g
"11333",Protein,0.86,g
"11334",Protein,0.92,g
"11344",Protein,7.2,g
"11345",Protein,5.96,g
"11349",Protein,0.38,g
"11351",Protein,2.3,g
"11363",Protein,1.96,g
"11364",Protein,4.29,g
"11370",Protein,3.0,g
"11378",Protein,8.34,g
"11391",Protein,2.65,g
"11399",Protein,2.13,g
"11400",Protein,2.38,g
"11403",Protein,2.75,g
"11413",Protein,6.9,g
"11417",Protein,1.09,g
"11419",Protein,2.72,g
"11423",Protein,0.72,g
"11424",Protein,1.1,g
"11429",Protein,0.68,g
"11430",Protein,0.6,g
"11431",Protein,0.67,g
"11435",Protein,1.08,g
"11436",Protein,0.93,g
"11438",Protein,2.73,g
"11439",Protein,0.91,g
"11442",Protein,0.54,g
"11444",Protein,1.51,g
"11445",Protein,1.68,g
"11446",Protein,5.81,g
"11453",Protein,8.47,g
"11457",Protein,2.86,g
"11458",Protein,2.97,g
"11461",Protein,2.81,g
"11468",Protein,1.04,g
"11476",Protein,1.03,g
"11478",Protein,1.14,g
"11491",Protein,1.48,g
"11493",Protein,0.66,g
"11502",Protein,4.31,g
"11508",Protein,2.01,g
"11510",Protein,1.37,g
"11519",Protein,0.52,g
"11527",Protein,1.2,g
"11529",Protein,0.88,g
"11530",Protein,0.95,g
"11531",Protein,0.79,g
"11540",Protein,0.85,g
"11546",Protein,4.32,g
"11549",Protein,1.2,g
"11557",Protein,0.94,g
"11565",Protein,0.71,g
"11567",Protein,1.53,g
"11569",Protein,1.14,g
"11577",Protein,2.99,g
"11578",Protein,0.93,g
"11581",Protein,2.59,g
"11590",Protein,0.88,g
"11591",Protein,2.3,g
"11594",Protein,0.4,g
"11601",Protein,1.53,g
"11603",Protein,0.72,g
"11609",Protein,0.8,g
"11626",Protein,1.4,g
"11641",Protein,1.21,g
"11642",Protein,0.91,g
"11644",Protein,0.89,g
"11655",Protein,0.95,g
"11657",Protein,1.91,g
"11659",Protein,0.89,g
"11663",Protein,6.21,g
"11667",Protein,57.47,g
"11669",Protein,3.03,g
"11670",Protein,2.0,g
"11674",Protein,2.5,g
"11715",Protein,4.07,g
"11718",Protein,2.03,g
"11724",Protein,1.89,g
"11766",Protein,0.62,g
"11805",Protein,1.36,g
"11812",Protein,3.19,g
"11816",Protein,2.17,g
"11819",Protein,1.87,g
"11820",Protein,0.9,g
"11821",Protein,0.99,g
"11823",Protein,0.92,g
"11831",Protein,1.87,g
"11833",Protein,1.71,g
"11888",Protein,1.65,g
"11897",Protein,1.49,g
"11901",Protein,3.34,g
"11905",Protein,2.32,g
"11932",Protein,1.15,g
"11935",Protein,1.04,g
"11937",Protein,0.5,g
"11941",Protein,0.33,g
"11943",Protein,1.1,g
"11945",Protein,0.37,g
"11952",Protein,1.43,g
"11954",Protein,0.96,g
"11955",Protein,14.11,g
"11957",Protein,1.24,g
"11959",Protein,2.58,g
"11962",Protein,10.58,g
"11963",Protein,1.32,g
"11964",Protein,1.35,g
"11965",Protein,2.95,g
"11967",Protein,3.04,g
"11969",Protein,1.14,g
"11974",Protein,5.6,g
"11976",Protein,1.66,g
"11977",Protein,1.74,g
"11979",Protein,0.91,g
"11983",Protein,1.5,g
"11994",Protein,1.2,g
"12014",Protein,30.23,g
"12023",Protein,17.73,g
"12036",Protein,20.78,g
"12061",Protein,21.15,g
"12062",Protein,21.4,g
"12078",Protein,14.32,g
"12104",Protein,3.33,g
"12108",Protein,6.88,g
"12116",Protein,1.17,g
"12117",Protein,2.29,g
"12119",Protein,0.72,g
"12120",Protein,14.95,g
"12142",Protein,9.17,g
"12147",Protein,13.69,g
"12155",Protein,15.23,g
"12157",Protein,14.29,g
"12166",Protein,17.0,g
"12167",Protein,3.17,g
"12179",Protein,2.88,g
"12220",Protein,18.29,g
"12516",Protein,29.84,g
"12529",Protein,16.96,g
"12537",Protein,19.33,g
"12538",Protein,20.06,g
"12563",Protein,20.96,g
"12585",Protein,15.31,g
"12588",Protein,12.12,g
"12632",Protein,7.79,g
"12635",Protein,17.3,g
"12652",Protein,21.05,g
"12695",Protein,20.96,g
"13317",Protein,23.05,g
"13327",Protein,26.52,g
"13347",Protein,18.17,g
"13355",Protein,21.8,g
"13804",Protein,25.85,g
"13840",Protein,23.01,g
"13930",Protein,26.96,g
"14016",Protein,0.42,g
"14038",Protein,0.0,g
"14044",Protein,6.59,g
"14064",Protein,0.21,g
"14065",Protein,0.0,g
"14066",Protein,78.13,g
"14067",Protein,55.56,g
"14090",Protein,0.22,g
"14091",Protein,0.59,g
"14093",Protein,0.0,g
"14136",Protein,0.0,g
"14144",Protein,0.09,g
"14145",Protein,0.05,g
"14148",Protein,0.0,g
"14157",Protein,0.0,g
"14167",Protein,0.0,g
"14171",Protein,0.21,g
"14181",Protein,2.1,g
"14185",Protein,0.0,g
"14189",Protein,0.0,g
"14192",Protein,6.67,g
"14202",Protein,0.1,g
"14209",Protein,0.12,g
"14210",Protein,0.12,g
"14216",Protein,0.0,g
"14224",Protein,5.29,g
"14237",Protein,0.1,g
"14278",Protein,0.22,g
"14309",Protein,0.0,g
"14347",Protein,3.37,g
"14355",Protein,0.0,g
"14411",Protein,0.0,g
"14460",Protein,0.0,g
"14461",Protein,0.0,g
"14545",Protein,0.0,g
"14555",Protein,0.0,g
"14639",Protein,0.28,g
"14649",Protein,0.0,g
"15002",Protein,28.89,g
"15008",Protein,17.83,g
"15012",Protein,24.6,g
"15014",Protein,16.36,g
"15016",Protein,22.83,g
"15017",Protein,22.76,g
"15020",Protein,17.78,g
"15025",Protein,18.44,g
"15027",Protein,11.01,g
"15029",Protein,15.24,g
"15035",Protein,25.23,g
"15036",Protein,18.56,g
"15040",Protein,23.03,g
"15046",Protein,18.6,g
"15055",Protein,19.35,g
"15060",Protein,19.39,g
"15062",Protein,19.26,g
"15067",Protein,23.48,g
"15068",Protein,18.48,g
"15071",Protein,22.23,g
"15072",Protein,22.32,g
"15084",Protein,19.68,g
"15086",Protein,26.48,g
"15088",Protein,24.62,g
"15089",Protein,20.86,g
"15091",Protein,18.43,g
"15094",Protein,16.93,g
"15101",Protein,20.51,g
"15105",Protein,20.7,g
"15110",Protein,19.66,g
"15114",Protein,20.77,g
"15117",Protein,23.33,g
"15119",Protein,29.13,g
"15121",Protein,19.44,g
"15131",Protein,23.4,g
"15133",Protein,23.48,g
"15138",Protein,7.62,g
"15140",Protein,17.88,g
"15141",Protein,17.88,g
"15146",Protein,16.77,g
"15148",Protein,19.0,g
"15151",Protein,22.78,g
"15152",Protein,20.42,g
"15155",Protein,17.1,g
"15157",Protein,14.67,g
"15160",Protein,24.25,g
"15164",Protein,11.9,g
"15167",Protein,5.71,g
"15170",Protein,7.06,g
"15175",Protein,15.58,g
"15192",Protein,18.73,g
"15230",Protein,29.82,g
"15235",Protein,18.44,g
"15237",Protein,22.1,g
"15247",Protein,23.45,g
"15262",Protein,26.15,g
"16006",Protein,4.75,g
"16010",Protein,4.52,g
"16015",Protein,8.86,g
"16017",Protein,8.18,g
"16028",Protein,8.67,g
"16033",Protein,8.67,g
"16034",Protein,5.22,g
"16039",Protein,7.53,g
"16041",Protein,9.06,g
"16043",Protein,9.01,g
"16048",Protein,9.16,g
"16050",Protein,9.73,g
"16053",Protein,7.6,g
"16055",Protein,4.62,g
"16057",Protein,8.86,g
"16059",Protein,6.12,g
"16063",Protein,7.73,g
"16069",Protein,24.63,g
"16070",Protein,9.02,g
"16072",Protein,7.8,g
"16081",Protein,7.02,g
"16082",Protein,0.16,g
"16084",Protein,7.54,g
"16085",Protein,23.82,g
"16086",Protein,8.34,g
"16087",Protein,25.8,g
"16089",Protein,28.03,g
"16090",Protein,24.35,g
"16098",Protein,22.21,g
"16099",Protein,52.2,g
"16103",Protein,4.98,g
"16104",Protein,11.69,g
"16107",Protein,20.28,g
"16109",Protein,18.21,g
"16112",Protein,12.79,g
"16113",Protein,19.4,g
"16115",Protein,37.81,g
"16118",Protein,49.81,g
"16120",Protein,3.27,g
"16122",Protein,88.32,g
"16124",Protein,10.51,g
"16125",Protein,7.0,g
"16127",Protein,7.17,g
"16129",Protein,18.82,g
"16137",Protein,4.86,g
"16139",Protein,2.6,g
"16147",Protein,15.7,g
"16150",Protein,25.9,g
"16168",Protein,2.26,g
"16172",Protein,5.34,g
"16225",Protein,2.38,g
"16230",Protein,2.47,g
"16316",Protein,6.03,g
"16326",Protein,7.37,g
"16347",Protein,4.6,g
"16397",Protein,24.06,g
"17060",Protein,33.69,g
"17106",Protein,24.8,g
"17136",Protein,25.14,g
"17143",Protein,24.38,g
"17157",Protein,28.44,g
"17159",Protein,28.3,g
"17169",Protein,27.1,g
"17173",Protein,29.27,g
"17179",Protein,30.38,g
"17181",Protein,33.02,g
"17225",Protein,24.75,g
"17344",Protein,26.45,g
"17346",Protein,36.28,g
"18005",Protein,9.8,g
"18010",Protein,8.0,g
"18029",Protein,10.75,g
"18033",Protein,8.8,g
"18037",Protein,10.4,g
"18042",Protein,9.8,g
"18060",Protein,8.5,g
"18064",Protein,10.67,g
"18069",Protein,8.85,g
"18075",Protein,12.45,g
"18079",Protein,13.35,g
"18080",Protein,12.0,g
"18096",Protein,3.48,g
"18102",Protein,4.4,g
"18108",Protein,5.5,g
"18110",Protein,2.9,g
"18114",Protein,4.4,g
"18128",Protein,3.47,g
"18133",Protein,5.4,g
"18141",Protein,2.99,g
"18147",Protein,5.5,g
"18151",Protein,4.8,g
"18158",Protein,5.97,g
"18166",Protein,5.21,g
"18170",Protein,3.7,g
"18172",Protein,5.6,g
"18173",Protein,6.69,g
"18177",Protein,5.6,g
"18178",Protein,6.2,g
"18185",Protein,8.92,g
"18191",Protein,4.1,g
"18192",Protein,5.37,g
"18210",Protein,4.5,g
"18211",Protein,7.4,g
"18214",Protein,10.93,g
"18216",Protein,7.9,g
"18228",Protein,9.46,g
"18229",Protein,6.64,g
"18235",Protein,10.58,g
"18239",Protein,8.2,g
"18241",Protein,9.2,g
"18243",Protein,10.8,g
"18245",Protein,8.0,g
"18249",Protein,4.93,g
"18253",Protein,3.1,g
"18254",Protein,6.4,g
"18256",Protein,5.9,g
"18260",Protein,9.1,g
"18262",Protein,7.91,g
"18266",Protein,8.8,g
"18271",Protein,8.1,g
"18272",Protein,7.9,g
"18274",Protein,4.49,g
"18279",Protein,5.9,g
"18283",Protein,7.0,g
"18304",Protein,4.4,g
"18305",Protein,1.8,g
"18308",Protein,2.0,g
"18320",Protein,1.5,g
"18323",Protein,1.9,g
"18324",Protein,4.5,g
"18326",Protein,3.9,g
"18328",Protein,4.8,g
"18338",Protein,7.1,g
"18342",Protein,10.86,g
"18350",Protein,9.77,g
"18351",Protein,9.6,g
"18354",Protein,3.3,g
"18356",Protein,6.2,g
"18360",Protein,6.41,g
"18363",Protein,5.7,g
"18403",Protein,7.19,g
"18451",Protein,5.4,g
"18933",Protein,7.42,g
"18938",Protein,4.01,g
"18951",Protein,5.8,g
"18963",Protein,8.36,g
"18964",Protein,4.45,g
"18969",Protein,4.41,g
"18970",Protein,8.01,g
"18973",Protein,8.77,g
"19001",Protein,5.71,g
"19002",Protein,33.2,g
"19003",Protein,6.17,g
"19008",Protein,5.46,g
"19009",Protein,8.5,g
"19014",Protein,0.1,g
"19015",Protein,10.1,g
